"rec","presence","site","year","month","day","hour","minute","species","songtype"
"20240929_202000.WAV",0,Winkeläcker,2024,9,29,20,29,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,45,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,46,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,47,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,48,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,49,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,50,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,51,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,52,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,53,"Strix aluco","Common Song"
"20240928_184500.WAV",0,Winkeläcker,2024,9,28,18,54,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,40,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,41,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,42,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,43,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,44,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,45,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,46,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,47,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,48,"Strix aluco","Common Song"
"20240929_184000.WAV",0,Winkeläcker,2024,9,29,18,49,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,50,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,51,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,52,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,53,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,54,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,55,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,56,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,57,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,58,"Strix aluco","Common Song"
"20240928_065000.WAV",0,Winkeläcker,2024,9,28,6,59,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,40,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,41,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,42,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,43,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,44,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,45,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,46,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,47,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,48,"Strix aluco","Common Song"
"20240930_184000.WAV",0,Winkeläcker,2024,9,30,18,49,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,40,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,41,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,42,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,43,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,44,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,45,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,46,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,47,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,48,"Strix aluco","Common Song"
"20240930_074000.WAV",0,Winkeläcker,2024,9,30,7,49,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,50,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,51,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,52,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,53,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,54,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,55,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,56,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,57,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,58,"Strix aluco","Common Song"
"20240928_055000.WAV",0,Winkeläcker,2024,9,28,5,59,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,20,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,21,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,22,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,23,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,24,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,25,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,26,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,27,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,28,"Strix aluco","Common Song"
"20240929_072000.WAV",0,Winkeläcker,2024,9,29,7,29,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,30,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,31,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,32,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,33,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,34,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,35,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,36,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,37,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,38,"Strix aluco","Common Song"
"20240929_193000.WAV",0,Winkeläcker,2024,9,29,19,39,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,10,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,11,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,12,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,13,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,14,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,15,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,16,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,17,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,18,"Strix aluco","Common Song"
"20240929_071000.WAV",0,Winkeläcker,2024,9,29,7,19,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,0,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,1,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,2,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,3,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,4,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,5,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,6,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,7,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,8,"Strix aluco","Common Song"
"20240929_060000.WAV",0,Winkeläcker,2024,9,29,6,9,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,35,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,36,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,37,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,38,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,39,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,40,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,41,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,42,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,43,"Strix aluco","Common Song"
"20240928_203500.WAV",0,Winkeläcker,2024,9,28,20,44,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,45,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,46,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,47,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,48,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,49,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,50,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,51,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,52,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,53,"Strix aluco","Common Song"
"20240928_194500.WAV",0,Winkeläcker,2024,9,28,19,54,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,40,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,41,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,42,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,43,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,44,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,45,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,46,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,47,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,48,"Strix aluco","Common Song"
"20240928_074000.WAV",0,Winkeläcker,2024,9,28,7,49,"Strix aluco","Common Song"
"20240927_190500.WAV",0,Winkeläcker,2024,9,27,19,5,"Strix aluco","Common Song"
"20240927_190500.WAV",0,Winkeläcker,2024,9,27,19,6,"Strix aluco","Common Song"
"20240927_190500.WAV",0,Winkeläcker,2024,9,27,19,7,"Strix aluco","Common Song"
"20240927_190500.WAV",0,Winkeläcker,2024,9,27,19,8,"Strix aluco","Common Song"
